trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,XLF,Select Sector Spdr Tr,81369Y605,equity,0,5495600,0,5495600,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,RSP,Invesco Exchange Traded Fd T,46137V357,equity,0,1173925,0,1173925,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,EWZ,Ishares Inc,464286400,equity,0,3552575,0,3552575,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,AA,Alcoa Corp,013872106,equity,0,1376050,0,1376050,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,ENTG,Entegris Inc,29362U104,equity,0,844160,0,844160,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,LSCC,Lattice Semiconductor Corp,518415104,equity,0,925970,0,925970,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,BE,Bloom Energy Corp,093712107,equity,0,740545,0,740545,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,DAL,Delta Air Lines Inc Del,247361702,equity,0,650910,0,650910,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,UAL,United Airls Hldgs Inc,910047109,equity,0,348400,0,348400,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,ON,On Semiconductor Corp,682189105,equity,0,536260,0,536260,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,GS,Goldman Sachs Group Inc,38141G104,equity,0,27500,0,27500,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,STM,Stmicroelectronics N V,861012102,equity,0,773555,0,773555,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,SCCO,Southern Copper Corp,84265V105,equity,0,120817,0,120817,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,RH,Rh,74967X103,equity,0,88200,0,88200,,1.000000
2025-09-30,2025-09-30,2025-12-31,Duquesne Family Office,new,Z,Zillow Group Inc,98954M200,equity,0,192640,0,192640,,1.000000
